"Trait" "Outcome" "type" "Moderator" "Covariate"
"C" "crystallized" "Frequentist" "baseAge" "education"
"C" "crystallized" "Frequentist" "baseAge" "gender"
"C" "crystallized" "Frequentist" "baseAge" "none"
"C" "crystallized" "Frequentist" "baseYear" "age"
"C" "crystallized" "Frequentist" "baseYear" "all"
"C" "crystallized" "Frequentist" "baseYear" "education"
"C" "crystallized" "Frequentist" "baseYear" "gender"
"C" "crystallized" "Frequentist" "baseYear" "none"
"C" "crystallized" "Frequentist" "continent" "age"
"C" "crystallized" "Frequentist" "continent" "all"
"C" "crystallized" "Frequentist" "continent" "education"
"C" "crystallized" "Frequentist" "continent" "gender"
"C" "crystallized" "Frequentist" "continent" "none"
"C" "crystallized" "Frequentist" "country" "age"
"C" "crystallized" "Frequentist" "country" "all"
"C" "crystallized" "Frequentist" "country" "education"
"C" "crystallized" "Frequentist" "country" "gender"
"C" "crystallized" "Frequentist" "country" "none"
"C" "crystallized" "Frequentist" "predInt" "age"
"C" "crystallized" "Frequentist" "predInt" "all"
"C" "crystallized" "Frequentist" "predInt" "education"
"C" "crystallized" "Frequentist" "predInt" "gender"
"C" "crystallized" "Frequentist" "predInt" "none"
"C" "crystallized" "Frequentist" "scale" "age"
"C" "crystallized" "Frequentist" "scale" "all"
"C" "crystallized" "Frequentist" "scale" "education"
"C" "crystallized" "Frequentist" "scale" "gender"
"C" "crystallized" "Frequentist" "scale" "none"
"E" "crystallized" "Bayesian" "baseAge" "age"
"E" "crystallized" "Bayesian" "baseAge" "all"
"E" "crystallized" "Bayesian" "baseAge" "education"
"E" "crystallized" "Bayesian" "baseAge" "gender"
"E" "crystallized" "Bayesian" "baseAge" "none"
"E" "crystallized" "Bayesian" "baseYear" "age"
"E" "crystallized" "Bayesian" "baseYear" "all"
"E" "crystallized" "Bayesian" "baseYear" "education"
"E" "crystallized" "Bayesian" "baseYear" "gender"
"E" "crystallized" "Bayesian" "baseYear" "none"
"E" "crystallized" "Bayesian" "continent" "age"
"E" "crystallized" "Bayesian" "continent" "all"
"E" "crystallized" "Bayesian" "continent" "education"
"E" "crystallized" "Bayesian" "continent" "gender"
"E" "crystallized" "Bayesian" "continent" "none"
"E" "crystallized" "Bayesian" "country" "age"
"E" "crystallized" "Bayesian" "country" "all"
"E" "crystallized" "Bayesian" "country" "education"
"E" "crystallized" "Bayesian" "country" "gender"
"E" "crystallized" "Bayesian" "country" "none"
"E" "crystallized" "Bayesian" "predInt" "age"
"E" "crystallized" "Bayesian" "predInt" "all"
"E" "crystallized" "Bayesian" "predInt" "education"
"E" "crystallized" "Bayesian" "predInt" "gender"
"E" "crystallized" "Bayesian" "predInt" "none"
"E" "crystallized" "Bayesian" "scale" "age"
"E" "crystallized" "Bayesian" "scale" "all"
"E" "crystallized" "Bayesian" "scale" "education"
"E" "crystallized" "Bayesian" "scale" "gender"
"E" "crystallized" "Bayesian" "scale" "none"
"E" "crystallized" "Frequentist" "baseAge" "age"
"E" "crystallized" "Frequentist" "baseAge" "all"
"E" "crystallized" "Frequentist" "baseAge" "education"
"E" "crystallized" "Frequentist" "baseAge" "gender"
"E" "crystallized" "Frequentist" "baseAge" "none"
"E" "crystallized" "Frequentist" "baseYear" "age"
"E" "crystallized" "Frequentist" "baseYear" "all"
"E" "crystallized" "Frequentist" "baseYear" "education"
"E" "crystallized" "Frequentist" "baseYear" "gender"
"E" "crystallized" "Frequentist" "baseYear" "none"
"E" "crystallized" "Frequentist" "continent" "age"
"E" "crystallized" "Frequentist" "continent" "all"
"E" "crystallized" "Frequentist" "continent" "education"
"E" "crystallized" "Frequentist" "continent" "gender"
"E" "crystallized" "Frequentist" "continent" "none"
"E" "crystallized" "Frequentist" "country" "age"
"E" "crystallized" "Frequentist" "country" "all"
"E" "crystallized" "Frequentist" "country" "education"
"E" "crystallized" "Frequentist" "country" "gender"
"E" "crystallized" "Frequentist" "country" "none"
"E" "crystallized" "Frequentist" "predInt" "age"
"E" "crystallized" "Frequentist" "predInt" "all"
"E" "crystallized" "Frequentist" "predInt" "education"
"E" "crystallized" "Frequentist" "predInt" "gender"
"E" "crystallized" "Frequentist" "predInt" "none"
"E" "crystallized" "Frequentist" "scale" "age"
"E" "crystallized" "Frequentist" "scale" "all"
"E" "crystallized" "Frequentist" "scale" "education"
"E" "crystallized" "Frequentist" "scale" "gender"
"E" "crystallized" "Frequentist" "scale" "none"
"N" "crystallized" "Bayesian" "baseAge" "age"
"N" "crystallized" "Bayesian" "baseAge" "all"
"N" "crystallized" "Bayesian" "baseAge" "education"
"N" "crystallized" "Bayesian" "baseAge" "gender"
"N" "crystallized" "Bayesian" "baseAge" "none"
"N" "crystallized" "Bayesian" "baseYear" "age"
"N" "crystallized" "Bayesian" "baseYear" "all"
"N" "crystallized" "Bayesian" "baseYear" "education"
"N" "crystallized" "Bayesian" "baseYear" "gender"
"N" "crystallized" "Bayesian" "baseYear" "none"
"N" "crystallized" "Bayesian" "continent" "age"
"N" "crystallized" "Bayesian" "continent" "all"
"N" "crystallized" "Bayesian" "continent" "education"
"N" "crystallized" "Bayesian" "continent" "gender"
"N" "crystallized" "Bayesian" "continent" "none"
"N" "crystallized" "Bayesian" "country" "age"
"N" "crystallized" "Bayesian" "country" "all"
"N" "crystallized" "Bayesian" "country" "education"
"N" "crystallized" "Bayesian" "country" "gender"
"N" "crystallized" "Bayesian" "country" "none"
"N" "crystallized" "Bayesian" "predInt" "age"
"N" "crystallized" "Bayesian" "predInt" "all"
"N" "crystallized" "Bayesian" "predInt" "education"
"N" "crystallized" "Bayesian" "predInt" "gender"
"N" "crystallized" "Bayesian" "predInt" "none"
"N" "crystallized" "Bayesian" "scale" "age"
"N" "crystallized" "Bayesian" "scale" "all"
"N" "crystallized" "Bayesian" "scale" "education"
"N" "crystallized" "Bayesian" "scale" "gender"
"N" "crystallized" "Bayesian" "scale" "none"
"N" "crystallized" "Frequentist" "baseAge" "age"
"N" "crystallized" "Frequentist" "baseAge" "all"
"N" "crystallized" "Frequentist" "baseAge" "education"
"N" "crystallized" "Frequentist" "baseAge" "gender"
"N" "crystallized" "Frequentist" "baseAge" "none"
"N" "crystallized" "Frequentist" "baseYear" "age"
"N" "crystallized" "Frequentist" "baseYear" "all"
"N" "crystallized" "Frequentist" "baseYear" "education"
"N" "crystallized" "Frequentist" "baseYear" "gender"
"N" "crystallized" "Frequentist" "baseYear" "none"
"N" "crystallized" "Frequentist" "continent" "age"
"N" "crystallized" "Frequentist" "continent" "all"
"N" "crystallized" "Frequentist" "continent" "education"
"N" "crystallized" "Frequentist" "continent" "gender"
"N" "crystallized" "Frequentist" "continent" "none"
"N" "crystallized" "Frequentist" "country" "age"
"N" "crystallized" "Frequentist" "country" "all"
"N" "crystallized" "Frequentist" "country" "education"
"N" "crystallized" "Frequentist" "country" "gender"
"N" "crystallized" "Frequentist" "country" "none"
"N" "crystallized" "Frequentist" "predInt" "age"
"N" "crystallized" "Frequentist" "predInt" "all"
"N" "crystallized" "Frequentist" "predInt" "education"
"N" "crystallized" "Frequentist" "predInt" "gender"
"N" "crystallized" "Frequentist" "predInt" "none"
"N" "crystallized" "Frequentist" "scale" "age"
"N" "crystallized" "Frequentist" "scale" "all"
"N" "crystallized" "Frequentist" "scale" "education"
"N" "crystallized" "Frequentist" "scale" "gender"
"N" "crystallized" "Frequentist" "scale" "none"
"O" "crystallized" "Bayesian" "baseAge" "age"
"O" "crystallized" "Bayesian" "baseAge" "all"
"O" "crystallized" "Bayesian" "baseAge" "education"
"O" "crystallized" "Bayesian" "baseAge" "gender"
"O" "crystallized" "Bayesian" "baseAge" "none"
"O" "crystallized" "Bayesian" "baseYear" "age"
"O" "crystallized" "Bayesian" "baseYear" "all"
"O" "crystallized" "Bayesian" "baseYear" "education"
"O" "crystallized" "Bayesian" "baseYear" "gender"
"O" "crystallized" "Bayesian" "baseYear" "none"
"O" "crystallized" "Bayesian" "continent" "age"
"O" "crystallized" "Bayesian" "continent" "all"
"O" "crystallized" "Bayesian" "continent" "education"
"O" "crystallized" "Bayesian" "continent" "gender"
"O" "crystallized" "Bayesian" "continent" "none"
"O" "crystallized" "Bayesian" "country" "age"
"O" "crystallized" "Bayesian" "country" "all"
"O" "crystallized" "Bayesian" "country" "education"
"O" "crystallized" "Bayesian" "country" "gender"
"O" "crystallized" "Bayesian" "country" "none"
"O" "crystallized" "Bayesian" "predInt" "age"
"O" "crystallized" "Bayesian" "predInt" "all"
"O" "crystallized" "Bayesian" "predInt" "education"
"O" "crystallized" "Bayesian" "predInt" "gender"
"O" "crystallized" "Bayesian" "predInt" "none"
"O" "crystallized" "Bayesian" "scale" "age"
"O" "crystallized" "Bayesian" "scale" "all"
"O" "crystallized" "Bayesian" "scale" "education"
"O" "crystallized" "Bayesian" "scale" "gender"
"O" "crystallized" "Bayesian" "scale" "none"
"O" "crystallized" "Frequentist" "baseAge" "age"
"O" "crystallized" "Frequentist" "baseAge" "all"
"O" "crystallized" "Frequentist" "baseAge" "education"
"O" "crystallized" "Frequentist" "baseAge" "gender"
"O" "crystallized" "Frequentist" "baseAge" "none"
"O" "crystallized" "Frequentist" "baseYear" "age"
"O" "crystallized" "Frequentist" "baseYear" "all"
"O" "crystallized" "Frequentist" "baseYear" "education"
"O" "crystallized" "Frequentist" "baseYear" "gender"
"O" "crystallized" "Frequentist" "baseYear" "none"
"O" "crystallized" "Frequentist" "continent" "age"
"O" "crystallized" "Frequentist" "continent" "all"
"O" "crystallized" "Frequentist" "continent" "education"
"O" "crystallized" "Frequentist" "continent" "gender"
"O" "crystallized" "Frequentist" "continent" "none"
"O" "crystallized" "Frequentist" "country" "age"
"O" "crystallized" "Frequentist" "country" "all"
"O" "crystallized" "Frequentist" "country" "education"
"O" "crystallized" "Frequentist" "country" "gender"
"O" "crystallized" "Frequentist" "country" "none"
"O" "crystallized" "Frequentist" "predInt" "age"
"O" "crystallized" "Frequentist" "predInt" "all"
"O" "crystallized" "Frequentist" "predInt" "education"
"O" "crystallized" "Frequentist" "predInt" "gender"
"O" "crystallized" "Frequentist" "predInt" "none"
"O" "crystallized" "Frequentist" "scale" "age"
"O" "crystallized" "Frequentist" "scale" "all"
"O" "crystallized" "Frequentist" "scale" "education"
"O" "crystallized" "Frequentist" "scale" "gender"
"O" "crystallized" "Frequentist" "scale" "none"
